Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2641.25,0.0,0.0,2641.25,2022/05/01 00:00:00+00,0.0,
Law,ADMINISTRATOR II,Association of Municipal Employees (AME-White Collar),84950.8,2250.0,984.69,92646.91,1999/05/03 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,3150.0,0.0,0.0,3150.0,2022/01/31 00:00:00+00,0.0,2022/04/20 00:00:00+00
Public Works,AUTO EQUIPMENT OPERATOR,Association of Municipal Employees (AME-Blue Collar),34992.39,0.0,9429.83,45196.64,2019/02/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1406.51,0.0,0.0,1406.51,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,880.0,0.0,0.0,880.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,861.25,0.0,0.0,861.25,2022/05/01 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),53065.59,1250.0,0.0,56098.51,2009/12/07 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,13800.0,39176.01,233601.21,1985/08/08 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),35576.3,2250.0,9310.87,50060.89,2002/04/12 00:00:00+00,0.0,2022/06/23 00:00:00+00
Public Works,MAINTENANCE MECHANIC IV,Association of Municipal Employees (AME-Blue Collar),69684.0,2400.0,1931.65,78232.07,1994/02/28 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),58122.02,1750.0,168.15,63098.59,2007/10/15 00:00:00+00,0.0,
Health Services,CLINIC AIDE,Association of Municipal Employees (AME-White Collar),44099.0,2600.0,1142.99,50164.41,1992/09/14 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),78612.3,0.0,10393.41,113949.1,2017/10/03 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2092.5,0.0,0.0,2092.5,2022/07/01 00:00:00+00,0.0,
Public Works,LABORER (37.50 HOURS),Temp,2842.5,0.0,0.0,2842.5,2022/06/27 00:00:00+00,0.0,2022/08/19 00:00:00+00
Audit & Control,AUDITOR,Association of Municipal Employees (AME-White Collar),51485.52,0.0,522.08,52837.02,2016/09/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,894.38,0.0,0.0,894.38,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),47771.1,0.0,952.43,56880.03,2021/10/25 00:00:00+00,0.0,
Health Services,HEALTH FINANCIAL ANALYST,Association of Municipal Employees (AME-White Collar),79905.6,1750.0,12933.15,98153.92,2007/05/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),70272.5,0.0,8537.44,95604.12,2018/10/15 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),149909.0,10925.0,49828.72,233468.54,2003/10/20 00:00:00+00,0.0,
